ID,Work Item Type,Title 1,Title 2,Title 3,Title 4,State,Tags,Acceptance Criteria,Description
,Task,,,,1.4.4 - Test pull request policies,New,,,"<div><div style=""box-sizing:border-box;""><b style=""box-sizing:border-box;"">Create a pull request</b> </div><div style=""box-sizing:border-box;""><ol style=""box-sizing:border-box;padding-left:40px;""><li style=""box-sizing:border-box;"">Switch to VS Code </li><li style=""box-sizing:border-box;"">Switch to master branch </li><li style=""box-sizing:border-box;"">Synchronize changes </li><li style=""box-sizing:border-box;"">Create a new branch named<span>&nbsp;</span><b style=""box-sizing:border-box;"">pull-request-policies-test</b>&nbsp;from the<span>&nbsp;</span><b style=""box-sizing:border-box;"">master</b><span>&nbsp;</span>branch </li><li style=""box-sizing:border-box;"">Open<span>&nbsp;</span><b style=""box-sizing:border-box;"">Program.cs</b><span>&nbsp;</span>file </li><li style=""box-sizing:border-box;"">On the top of file, change<span>&nbsp;</span><b style=""box-sizing:border-box;"">// My second change</b><span>&nbsp;</span>to<span>&nbsp;</span><b style=""box-sizing:border-box;"">// My third change</b> </li><li style=""box-sizing:border-box;"">Save change and commit it </li><li style=""box-sizing:border-box;"">Push branch to Azure DevOps </li><li style=""box-sizing:border-box;"">Switch to Azure DevOps </li><li style=""box-sizing:border-box;"">Go to<span>&nbsp;</span><b style=""box-sizing:border-box;"">Pull requests</b><span>&nbsp;</span>of Repos hub </li><li style=""box-sizing:border-box;"">Click<span>&nbsp;</span><b style=""box-sizing:border-box;"">Create a pull request</b><span>&nbsp;</span>button </li><li style=""box-sizing:border-box;"">Enter Title and Description </li><li style=""box-sizing:border-box;"">Click<span>&nbsp;</span><b style=""box-sizing:border-box;"">Create</b><span>&nbsp;</span>button </li> </ol> </div><div style=""box-sizing:border-box;""><b style=""box-sizing:border-box;"">Add comment to changes</b> </div><div style=""box-sizing:border-box;""><ol style=""box-sizing:border-box;padding-left:40px;""><li style=""box-sizing:border-box;"">Go to the pull request just created </li><li style=""box-sizing:border-box;"">Click<span>&nbsp;</span><b style=""box-sizing:border-box;"">Files<span>&nbsp;</span></b>tab and add a comment to the changes like '<i style=""box-sizing:border-box;"">This comment needs to be resolved</i>' </li><li style=""box-sizing:border-box;"">Click<span>&nbsp;</span><b style=""box-sizing:border-box;"">Comment<span>&nbsp;</span></b>button </li> </ol> </div><div style=""box-sizing:border-box;""><b style=""box-sizing:border-box;"">Review required checks</b> </div><div style=""box-sizing:border-box;""><ol style=""box-sizing:border-box;padding-left:40px;""><li style=""box-sizing:border-box;"">Go back to<span>&nbsp;</span><b style=""box-sizing:border-box;"">Overview<span>&nbsp;</span></b>tab </li><li style=""box-sizing:border-box;"">Noticed that there are 2 required check failed </li><li style=""box-sizing:border-box;"">On the right, click + button for Work items and link to this task </li><li style=""box-sizing:border-box;"">On the bottom of comment section, write a reply like 'resolved' and click Reply&amp;Resolve button </li><li style=""box-sizing:border-box;"">Click<span>&nbsp;</span><b style=""box-sizing:border-box;"">Approve<span>&nbsp;</span></b>button on the top right of the page </li><li style=""box-sizing:border-box;"">Click<span>&nbsp;</span><b style=""box-sizing:border-box;"">Complete<span>&nbsp;</span></b>button </li><li style=""box-sizing:border-box;"">Tick on<span>&nbsp;</span><b style=""box-sizing:border-box;"">Complete associated work items after merging</b> </li><li style=""box-sizing:border-box;"">Click<span>&nbsp;</span><b style=""box-sizing:border-box;"">Complete merge</b> </li> </ol><div style=""box-sizing:border-box;""><b style=""box-sizing:border-box;"">Check Task state</b> </div><div style=""box-sizing:border-box;""><ol style=""box-sizing:border-box;padding-left:40px;""><li style=""box-sizing:border-box;"">Go to&nbsp;<b style=""box-sizing:border-box;"">&nbsp;Boards<span>&nbsp;</span></b>of Boards hub </li><li style=""box-sizing:border-box;"">Go to the user story<span>&nbsp;</span><b style=""box-sizing:border-box;"">1.4 - Working with Pull Request</b> </li><li style=""box-sizing:border-box;"">User the tasks, verify that the stat of task<span>&nbsp;</span><b style=""box-sizing:border-box;"">1.4.4 - Test pull request policies</b><span>&nbsp;</span>is<span>&nbsp;</span><b style=""box-sizing:border-box;"">closed<span>&nbsp;</span></b>and the reason is<span>&nbsp;</span><b style=""box-sizing:border-box;"">Completed</b> </li><li style=""box-sizing:border-box;"">On the right of the task page, notice that the pull request just completed was linked to this task under Development&nbsp; </li> </ol> </div> </div><br><br> </div>"
,Feature,,2.0 - Automating Deployments with Azure Pipelines,,,New,pipelines,,<div>Learn how to use Azure Pipelines for continuous integration and delivery. </div>
,User Story,,,2.1 - Create infrastructure pipeline,,New,pipelines,"<div><ul><li>A pipeline is created </li><li>When running pipeline, resources are deployed </li> </ul> </div>","<div><span style=""display:inline !important;"">As a DevOps Engineer, I would like to create an infrastructure deployment pipeline to automate Azure Resources deployment.</span> </div>"
,Task,,,,2.1.1 - Create service connection,New,,,"<div>Go to <b>Project Settings</b> </div><div>Go to <b>Pipelines </b>-&gt; <b>Service connections</b>&nbsp; </div><div>Choose <b>Azure Resource Manager</b> in new service connection popup </div><div>Select <b>Service principal</b> </div><div>Select <b>Subscription </b>as Scope level </div><div>Give a Service connection name, like:&nbsp;SC-SIKA-DEVOPS-LABS </div><div>Click <b>Save</b> </div><div><br> </div><div><br> </div>"
,Task,,,,2.1.2 - Create variable group,New,,,"<div>Go to <b>Pipelines </b>-&gt; <b>Library </b> </div><div>Click <b>+Variable group </b> </div><div>Give variable group name, like <b>Web App Deploy Configuration</b> </div><div>Add variable name <b>Suffix</b>, value xxx (user identity) </div><div>Add variable name <b>ServiceConnectionName</b>, value&nbsp;SC-SIKA-DEVOPS-LABS </div><div>Click <b>Save</b> </div>"
,Task,,,,2.1.3 - Create pipeline,New,,,"<div><ul><li>Go to Pipelines-&gt; <b>Pipelines</b> </li><li>Click <b>Create Pipeline</b> button </li><li>Select <b>Azure Repos Git</b> </li><li>Select <b>Web App Demo repo</b> </li><li>Select <b>Starter pipeline</b> </li><li>Replace Starter pipeline with the following YAML: </li> </ul> </div><div><div style=""color:#000000;background-color:#fffffe;font-family:Consolas, 'Courier New', monospace;font-weight:normal;line-height:19px;""><div><span style=""color:#008080;""></span> </div><div style=""background-color:#fffffe;""><pre><code><div><span style=""color:#008080;"">trigger</span><span>:&nbsp;</span></div><div><span>&nbsp;</span><span style=""color:#008080;"">branches</span><span>:</span></div><div><span>&nbsp;&nbsp;&nbsp;&nbsp;</span><span style=""color:#008080;"">include</span><span>:</span></div><div><span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;-&nbsp;</span><span style=""color:#0451a5;"">master</span></div><div><span>&nbsp;</span><span style=""color:#008080;"">paths</span><span>:</span></div><div><span>&nbsp;&nbsp;&nbsp;&nbsp;</span><span style=""color:#008080;"">include</span><span>:</span></div><div><span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;-&nbsp;</span><span style=""color:#0451a5;"">deployment</span></div><br><div><span style=""color:#008080;"">pool</span><span>:</span></div><div><span>&nbsp;&nbsp;</span><span style=""color:#008080;"">vmImage</span><span>:&nbsp;</span><span style=""color:#0451a5;"">ubuntu-latest</span></div><br><div><span style=""color:#008080;"">variables</span><span>:</span></div><div><span>-&nbsp;</span><span style=""color:#008080;"">group</span><span>:&nbsp;</span><span style=""color:#0451a5;"">Web&nbsp;App&nbsp;Deploy&nbsp;Configuration</span></div><div><span>-&nbsp;</span><span style=""color:#008080;"">name</span><span>:&nbsp;</span><span style=""color:#0451a5;"">deploymentDefaultLocation</span></div><div><span>&nbsp;&nbsp;</span><span style=""color:#008080;"">value</span><span>:&nbsp;</span><span style=""color:#0451a5;"">westeurope</span></div><br><div><span style=""color:#008080;"">jobs</span><span>:</span></div><div><span>-&nbsp;</span><span style=""color:#008080;"">job</span><span>:</span></div><div><span>&nbsp;&nbsp;</span><span style=""color:#008080;"">steps</span><span>:</span></div><div><span>&nbsp;&nbsp;</span></div><div><span>&nbsp;&nbsp;-&nbsp;</span><span style=""color:#008080;"">task</span><span>:&nbsp;</span><span style=""color:#0451a5;"">AzureResourceManagerTemplateDeployment@3</span></div><div><span>&nbsp;&nbsp;&nbsp;&nbsp;</span><span style=""color:#008080;"">inputs</span><span>:</span></div><div><span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</span><span style=""color:#008080;"">deploymentScope</span><span>:&nbsp;</span><span style=""color:#0451a5;"">'Subscription'</span></div><div><span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</span><span style=""color:#008080;"">connectedServiceName</span><span>:&nbsp;</span><span style=""color:#0451a5;"">$(ServiceConnectionName)</span></div><div><span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</span><span style=""color:#008080;"">deploymentName</span><span>:&nbsp;</span><span style=""color:#0451a5;"">$(Build.BuildNumber)</span></div><div><span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</span><span style=""color:#008080;"">location</span><span>:&nbsp;</span><span style=""color:#0451a5;"">$(deploymentDefaultLocation)</span></div><div><span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</span><span style=""color:#008080;"">csmFile</span><span>:&nbsp;</span><span style=""color:#0451a5;"">deployment/main.bicep</span></div><div><span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</span><span style=""color:#008080;"">overrideParameters</span><span>:&nbsp;&gt;</span></div><div><span style=""color:#0451a5;"">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;-resourceNameSuffix&nbsp;$(Suffix)</span></div><div><span style=""color:#0451a5;"">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;-location&nbsp;$(deploymentDefaultLocation)</span></div></code></pre> </div><div><span style=""color:#0451a5;""></span> </div> </div><ul><li>Save pipeline with name '<b>iac-pipeline.yml</b>' and run it </li><li>Check the following deployed resources on Azure: </li><ul><li>Resource gpoup: rg-SUFFIX </li><li>App Service: ase-SUFFIX </li><li>APP Service plan: plan-SUFFIX </li> </ul> </ul> </div><div><br> </div><div> </div><div><br> </div><div><br> </div>"
,User Story,,,2.2 - Create Web App pipeline,,New,pipelines,"<div><ul><li>A pipeline is created. </li><li>When running pipeline, web app project is built and deployed&nbsp;on Azure. </li> </ul> </div>","<div>As a developer, I would like to create a pipeline for web app, so <span style=""font-weight:inherit;"">the code changes will be automatically built and deployed.</span> </div>"
,Task,,,,2.2.1 - Create pipeline,New,,,"<div><ul style=""box-sizing:border-box;padding:0px 0px 0px 40px;""><li style=""box-sizing:border-box;"">Go to Pipelines-&gt;<span>&nbsp;</span><b style=""box-sizing:border-box;"">Pipelines</b> </li><li style=""box-sizing:border-box;"">Click<span>&nbsp;</span><b style=""box-sizing:border-box;"">Create Pipeline</b><span>&nbsp;</span>button </li><li style=""box-sizing:border-box;"">Select<span>&nbsp;</span><b style=""box-sizing:border-box;"">Azure Repos Git</b> </li><li style=""box-sizing:border-box;"">Select<span>&nbsp;</span><b style=""box-sizing:border-box;"">Web App Demo repo</b> </li><li style=""box-sizing:border-box;"">Select<span>&nbsp;</span><b style=""box-sizing:border-box;"">Starter pipeline</b> </li><li style=""box-sizing:border-box;"">Replace Starter pipeline with the following YAML: </li> </ul><div style=""color:#000000;background-color:#fffffe;font-family:Consolas, 'Courier New', monospace;font-weight:normal;line-height:19px;""><pre><code><div><span style=""color:#008080;"">trigger</span><span>:</span></div><div><span>&nbsp;</span><span style=""color:#008080;"">branches</span><span>:</span></div><div><span>&nbsp;&nbsp;&nbsp;&nbsp;</span><span style=""color:#008080;"">include</span><span>:</span></div><div><span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;-&nbsp;</span><span style=""color:#0451a5;"">master</span></div><div><span>&nbsp;</span><span style=""color:#008080;"">paths</span><span>:</span></div><div><span>&nbsp;&nbsp;&nbsp;&nbsp;</span><span style=""color:#008080;"">include</span><span>:</span></div><div><span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;-&nbsp;</span><span style=""color:#0451a5;"">src</span></div><div><span>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</span></div><div><span style=""color:#008080;"">parameters</span><span>:</span></div><div><span>-&nbsp;</span><span style=""color:#008080;"">name</span><span>:&nbsp;</span><span style=""color:#0451a5;"">RestoreBuildProjects</span></div><div><span>&nbsp;&nbsp;</span><span style=""color:#008080;"">displayName</span><span>:&nbsp;</span><span style=""color:#0451a5;"">Project&nbsp;path</span></div><div><span>&nbsp;&nbsp;</span><span style=""color:#008080;"">type</span><span>:&nbsp;</span><span style=""color:#0451a5;"">string</span></div><div><span>&nbsp;&nbsp;</span><span style=""color:#008080;"">default</span><span>:&nbsp;</span><span style=""color:#0451a5;"">'**/src/*.csproj'</span></div><br><div><span style=""color:#008080;"">variables</span><span>:</span></div><div><span>-&nbsp;</span><span style=""color:#008080;"">group</span><span>:&nbsp;</span><span style=""color:#0451a5;"">Web&nbsp;App&nbsp;Deploy&nbsp;Configuration</span></div><div><span>-&nbsp;</span><span style=""color:#008080;"">name</span><span>:&nbsp;&nbsp;</span><span style=""color:#0451a5;"">buildConfiguration</span></div><div><span>&nbsp;&nbsp;</span><span style=""color:#008080;"">value</span><span>:&nbsp;</span><span style=""color:#0451a5;"">Release</span></div><div><span>-&nbsp;</span><span style=""color:#008080;"">name</span><span>:&nbsp;</span><span style=""color:#0451a5;"">appName</span></div><div><span>&nbsp;&nbsp;</span><span style=""color:#008080;"">value</span><span>:&nbsp;</span><span style=""color:#0451a5;"">'ase-$(Suffix)'</span></div><br><div><span style=""color:#008080;"">steps</span><span>:</span></div><div><span>-&nbsp;</span><span style=""color:#008080;"">task</span><span>:&nbsp;</span><span style=""color:#0451a5;"">DotNetCoreCLI@2</span></div><div><span>&nbsp;&nbsp;</span><span style=""color:#008080;"">displayName</span><span>:&nbsp;</span><span style=""color:#0451a5;"">Restore</span></div><div><span>&nbsp;&nbsp;</span><span style=""color:#008080;"">inputs</span><span>:</span></div><div><span>&nbsp;&nbsp;&nbsp;&nbsp;</span><span style=""color:#008080;"">command</span><span>:&nbsp;</span><span style=""color:#0451a5;"">restore</span></div><div><span>&nbsp;&nbsp;&nbsp;&nbsp;</span><span style=""color:#008080;"">projects</span><span>:&nbsp;</span><span style=""color:#0451a5;"">${{&nbsp;Parameters.RestoreBuildProjects&nbsp;}}</span></div><br><div><span>-&nbsp;</span><span style=""color:#008080;"">task</span><span>:&nbsp;</span><span style=""color:#0451a5;"">DotNetCoreCLI@2</span></div><div><span>&nbsp;&nbsp;</span><span style=""color:#008080;"">displayName</span><span>:&nbsp;</span><span style=""color:#0451a5;"">Build</span></div><div><span>&nbsp;&nbsp;</span><span style=""color:#008080;"">inputs</span><span>:</span></div><div><span>&nbsp;&nbsp;&nbsp;&nbsp;</span><span style=""color:#008080;"">projects</span><span>:&nbsp;</span><span style=""color:#0451a5;"">${{&nbsp;Parameters.RestoreBuildProjects&nbsp;}}</span></div><div><span>&nbsp;&nbsp;&nbsp;&nbsp;</span><span style=""color:#008080;"">arguments</span><span>:&nbsp;</span><span style=""color:#0451a5;"">'--configuration&nbsp;$(BuildConfiguration)'</span></div><br><div><span>-&nbsp;</span><span style=""color:#008080;"">task</span><span>:&nbsp;</span><span style=""color:#0451a5;"">DotNetCoreCLI@2</span></div><div><span>&nbsp;&nbsp;</span><span style=""color:#008080;"">displayName</span><span>:&nbsp;</span><span style=""color:#0451a5;"">Publish</span></div><div><span>&nbsp;&nbsp;</span><span style=""color:#008080;"">inputs</span><span>:</span></div><div><span>&nbsp;&nbsp;&nbsp;&nbsp;</span><span style=""color:#008080;"">command</span><span>:&nbsp;</span><span style=""color:#0451a5;"">publish</span></div><div><span>&nbsp;&nbsp;&nbsp;&nbsp;</span><span style=""color:#008080;"">publishWebProjects</span><span>:&nbsp;</span><span style=""color:#0000ff;"">True</span></div><div><span>&nbsp;&nbsp;&nbsp;&nbsp;</span><span style=""color:#008080;"">arguments</span><span>:&nbsp;</span><span style=""color:#0451a5;"">'--configuration&nbsp;$(BuildConfiguration)&nbsp;--output&nbsp;$(build.artifactstagingdirectory)'</span></div><div><span>&nbsp;&nbsp;&nbsp;&nbsp;</span><span style=""color:#008080;"">zipAfterPublish</span><span>:&nbsp;</span><span style=""color:#0000ff;"">True</span></div><div><span>&nbsp;&nbsp;&nbsp;&nbsp;</span></div><div><span>-&nbsp;</span><span style=""color:#008080;"">task</span><span>:&nbsp;</span><span style=""color:#0451a5;"">AzureWebApp@1</span></div><div><span>&nbsp;&nbsp;</span><span style=""color:#008080;"">displayName</span><span>:&nbsp;</span><span style=""color:#0451a5;"">'Deploy&nbsp;Web&nbsp;App'</span><span>&nbsp;</span></div><div><span>&nbsp;&nbsp;</span><span style=""color:#008080;"">inputs</span><span>:</span></div><div><span>&nbsp;&nbsp;&nbsp;&nbsp;</span><span style=""color:#008080;"">azureSubscription</span><span>:&nbsp;</span><span style=""color:#0451a5;"">$(ServiceConnectionName)</span></div><div><span>&nbsp;&nbsp;&nbsp;&nbsp;</span><span style=""color:#008080;"">appType</span><span>:&nbsp;</span><span style=""color:#0451a5;"">webApp</span></div><div><span>&nbsp;&nbsp;&nbsp;&nbsp;</span><span style=""color:#008080;"">appName</span><span>:&nbsp;</span><span style=""color:#0451a5;"">$(appName)</span></div><div><span>&nbsp;&nbsp;&nbsp;&nbsp;</span><span style=""color:#008080;"">package</span><span>:&nbsp;</span><span style=""color:#0451a5;"">'$(build.artifactstagingdirectory)/**/*.zip'</span></div></code></pre> </div><ul><li>Save pipeline with name '<b>wap-pepeline.yml</b>' and run it </li><li><span>go to url:&nbsp;<a href=""https://ase-bais.azurewebsites.net"">https://ase-(SUFFIX).azurewebsites.net</a></span> </li> </ul> </div><div><br> </div>"
,User Story,,,2.3 - Trigger web app pipeline by modifying code source,,New,pipelines,<div><ul><li>Pipeline is trigged when code changed </li><li>Web site is updated </li> </ul> </div>,"<div>As a developer, I would like the web app pipeline is trigged automatically when code changed, so the web site will be updated accordingly. </div>"
,Task,,,,2.3.1 - Create a branch to modify web app code source,New,,,"<div style=""box-sizing:border-box;""><ol style=""box-sizing:border-box;padding-left:40px;""><li style=""box-sizing:border-box;"">Go to VS Code </li><li style=""box-sizing:border-box;"">Make sure your are working on master branch </li><li style=""box-sizing:border-box;"">Synchronize changes with remote </li><li style=""box-sizing:border-box;"">Open command palette with shortcut:<span>&nbsp;</span><b style=""box-sizing:border-box;"">Ctrl+Shift+P</b> </li><li style=""box-sizing:border-box;"">Enter<span>&nbsp;</span><b style=""box-sizing:border-box;"">Git: Create Branch From...</b> </li><li style=""box-sizing:border-box;"">Enter new branch name&nbsp;<b>add-logo</b> </li><li style=""box-sizing:border-box;"">Select the<span>&nbsp;</span><b style=""box-sizing:border-box;"">master<span>&nbsp;</span></b>as reference branch </li><li style=""box-sizing:border-box;"">Go to src\Pages\Shared </li><li style=""box-sizing:border-box;"">Click _Layout.cshtml file </li><li style=""box-sizing:border-box;"">Replace <i>&lt;a class=&quot;navbar-brand&quot; asp-area=&quot;&quot; asp-page=&quot;/Index&quot;&gt;WebAppDemo&lt;/a&gt;</i> by&nbsp;<div style=""color:#000000;background-color:#ffffff;font-family:Consolas, 'Courier New', monospace;font-weight:normal;line-height:19px;""><pre><code><div><span style=""color:#800000;"">&lt;img</span><span>&nbsp;</span><span style=""color:#ff0000;"">class</span><span>=</span><span style=""color:#0000ff;"">&quot;navbar-brand&quot;</span><span>&nbsp;</span><span style=""color:#ff0000;"">src</span><span>=</span><span style=""color:#0000ff;"">&quot;data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAHcAAABtCAMAAACsqg5FAAAAnFBMVEX////XKC/2sybXJi377e73tibWIy/4uiXWHi/4uCb5vSXTAAD1sCbWICjypifVFjDUADD++vrkbivcRi70rCfsqqvsjynwnyjdTC3vmSnxwsPWFyDVABPVDBjfVi3bQS7neivqhyrgXiz55ebcUFPnk5TogCriZSzZNS7ldCvutbbkg4XzzMzaREnhdHf22tveXV/ZOD7fZWjqoKLxQRZpAAAFDklEQVRoge1Za3OqShDMgiy7KCwiiig+0Kj4iJ7E///fzswuIJrcD4KQunXoqsQyPjozO90zA29vLVq0aNGiRYsWLf519H+HtnP8Hd5Nd/IbtGvb/viNTJ+nJBo2T3uaEaKTTuO87zYhZNp4aR0ioCX67NIsbf9TR15i/2mWdzMjClGjWlpP9ZRX/2xSS19TkiG6Nkd7inJaotvNaenDvvGS6bkp2mEhXMx0Q1rq2/odr/3eDO9xSu4RHZqgvcz0B16dNKGlPzZ5xGxTP+1k9o2W6NN17byfj1mWWvqqm/b6Q7iY6VO9tJ3pT+GClj7q5YXhhlDGmHAFBTrmuiINuNaR5xIB63y79Ua9YE4JWzpOkKjSsuvU0rvNBg4HGJq1Y4Q6htFL0tKqceQ5RHRgGJqmwY+xoCTpaZqTJlqP6tMS0UUAlNwJfMuHgx6bmjESWWnVNvLAcJNgpCvKyHgAx+uZGt+z3KZr0lIn0unKSCOkUM4i5hqf09y1PuvhBQ2xPddML4tQJn2R89akpUsXmEZQyIOMKfE1zb/RQmnVoSUcblxgMjIauoCkh+LGW4uW1IIAiXWyCOkKympb5CXd12sJuz0dcyir7HjZEg57x4q8r9fSBocb5kEBL/OygsM2xpTcBfzi9aHTlUwgHDMXDnU0LXPJvLT01/J+yeHGBeFYwMSEgKCLLnnT0kvXh1NXZRbKCvyRbOORx+5d8pbpgpYqy0oNN3QBZRUiITdD8eCSuZby9WFyPG6q7TBKQyAcKKuYIaG5Z/eHXQg4XR82h06nc64irH6k58LhHmN7raeN6aNL5lpS68P6Otlcr/0qE262IIhQuSTMOYwql/zGigHL9eFwAd7h27H8Ga+76Re6UMA8+3Y6AMsMvpUVwZEHPzU5TQ6b9VsF5/zKFwSz6JJzKKv4J950fThPLv3NqXyLOnVzJuWSVKY5d0n1VCZfAjONZXw5n9bDCuHmC0LqkmznOz0oKzhsDi5JE8f3V5QGvu/DdBlsgdhWWjoMK2zGtyUb/RiEI0KO1cXAJf0E/wr/zYotLEOBo4V1K6/i/dvW6QITuCT24F5CpUsyIqAZGo6ggyBE+FDxkAS98vpQWLJdKKsepQnWMVUt0RXgIRoHFVMh4QYa39FMS+WRawhd0lQuKUc7NC3NiX34bY6xunBzES4kQ3qYPq3mzYUlm+6US+6kLaNLqvm9twBaMQ4Ny7K4rxoW2HSlVXxyCzdzydSWhYN7AyIBWra3IAu4vkD4StOVRh5S2Dpd5ZLYg3lCCU54pplOdgkcgR/vlyNZZPLtdoVVXC7ZSSJXTppgBTHCNLRl6ZJQxiG0JjjslWkELniGu+RGnLbGbun1oYN9iAVWOHeFi20Ay2qhHtJZUrrH0o058FLK3JEBz5SVltfSWc5ywAPf6kBKUZqyB29F5pKoKnwdUhGu5ruA47O0OZa9+3BRRWVh8cjt04Q2kBLKOHFxgBTj69zEsuIGvs9KecteMZV3EOjcMrgpDdDC7iNCkMuCip5lqVmSeRa3/P2uZ3FuGeHItHjWpMqtD+lwQ7zYG2/DIIwHsmCSxSLBbiAfJPHAG2NLmnu7MXQlskryGaTMFdN+piEmGLQ6Kpud9A9K1UNuKOqV7B2FyaeMljY/X6h6Ds+vD+v/uFD1HJ6/k3d+vNhbDs/efTh19dfAfsqm++/2i3hnT9196Hdeh+cS3aJFixYtWrRo0eL/hb8ow10zYqtL9QAAAABJRU5ErkJggg==&quot;</span><span style=""color:#800000;"">/&gt;</span></div></code></pre> </div> </li><li>Save file and commit change </li><li>Publish branch </li> </ol> </div><br>"
,Task,,,,2.3.2 - Create a pull request,New,,,"<div><ol style=""box-sizing:border-box;padding-left:40px;""><li style=""box-sizing:border-box;"">Go to Azure DevOps </li><li style=""box-sizing:border-box;"">Click<span>&nbsp;</span><b style=""box-sizing:border-box;"">Branches<span>&nbsp;</span></b>of<span>&nbsp;</span><b style=""box-sizing:border-box;"">Repos hub</b> </li><li style=""box-sizing:border-box;"">Find the message<span>&nbsp;</span><i style=""box-sizing:border-box;""><b>you updated add-logo xxm ago</b></i> </li><li style=""box-sizing:border-box;"">Click<span>&nbsp;</span><b style=""box-sizing:border-box;"">Create a pull request<span>&nbsp;</span></b>button </li><li style=""box-sizing:border-box;"">In New pull request form: </li><ol style=""box-sizing:border-box;padding-left:40px;list-style:lower-alpha;""><li style=""box-sizing:border-box;""><span style=""box-sizing:border-box;"">Verify that the pull request merge changes from branch<span>&nbsp;</span></span><b style=""box-sizing:border-box;""><i style=""box-sizing:border-box;font-weight:400;""><b style=""box-sizing:border-box;"">add-logo&nbsp;</b></i>to master</b> </li><li style=""box-sizing:border-box;""><span style=""box-sizing:border-box;"">Enter Title and Description</span> </li><li style=""box-sizing:border-box;""><span style=""box-sizing:border-box;"">link work item to this task</span> </li><li style=""box-sizing:border-box;""><span style=""box-sizing:border-box;"">Click Create button</span> </li><li style=""box-sizing:border-box;""><span style=""box-sizing:border-box;"">Approve and complete pull request</span> </li> </ol> </ol><br> </div>"
,Task,,,,2.3.3 - Check pipeline running state,New,,,<div><ul><li>Go to Pipelines </li><li>Check Web App Deployment pipeline is starting running </li><li>Click the pipeline and check the deployment details </li> </ul> </div><div><br> </div>
,Task,,,,2.3.4 - Browse website to check the changes,New,,,"<div><ul><li>Browse to url :&nbsp;<a href=""https://ase-bais.azurewebsites.net"">https://ase-(SUFFIX).azurewebsites.net</a> </li><li>Verify that SIKA logo is showing on the top of page </li> </ul> </div>"
,Feature,,3.0 - Package Management with Azure Artifacts,,,New,artifacts,,<div>Learn how to share code efficiently by publishing a package in Azure Artifacts. </div>
,User Story,,,3.1 - Create artifacts repository,,New,artifacts,<ul><li>A repository <b>Shared Library</b> created in Azure DevOps </li> </ul>,"<div>As a developer, I would like to create a repository for shared library, so I can manage the code in Azure Repos. </div>"
,Task,,,,3.1.1 - Create a new repository,New,,,"<div> </div><ol style=""box-sizing:border-box;padding-left:40px;""><li style=""box-sizing:border-box;"">Go to <b>Project Settings </b> </li><li style=""box-sizing:border-box;"">Go to <b>Repositories </b> </li><li style=""box-sizing:border-box;"">Click<span>&nbsp;</span><b style=""box-sizing:border-box;"">+Create</b><span>&nbsp;</span>button </li><li style=""box-sizing:border-box;"">Give Repository name, like '<b>Shared library</b>' </li><li style=""box-sizing:border-box;"">Uncheck 'Add a README' </li><li style=""box-sizing:border-box;"">Click <b>Create </b> </li> </ol><div> </div>"
,Task,,,,3.1.2 - Import code from Github repository,New,,,"<div><ol style=""box-sizing:border-box;padding-left:40px;""><li style=""box-sizing:border-box;"">Go to <b>Repos </b> </li><li style=""box-sizing:border-box;"">Click <b>Branches </b> </li><li style=""box-sizing:border-box;"">Click <b>Import </b>button under Import a repository </li><li style=""box-sizing:border-box;"">Enter&nbsp;<a href=""https://github.com/shiyinbai/ArtifactDemo.git"">https://github.com/shiyinbai/ArtifactDemo.git</a>&nbsp;under Clone URL </li><li style=""box-sizing:border-box;"">Click <b>Import </b> </li> </ol><br> </div>"
,User Story,,,3.2 - Create a new feed,,New,artifacts,<div><ul><li>A new project feed created in Azure Artifacts </li><li>Feed permission for pipeline configured </li> </ul> </div>,"<div>As a developer, I would like to create a new feed in Azure Artifacts, so I can store and manage packages and control who to share it with. </div>"
,Task,,,,3.2.1 - Create a new project feed,New,,,<div>Go to <b>Azure DevOps</b> </div><div>Go to <b>Artifacts</b> </div><div>Click <b>+ Create Feed </b>button </div><div>Enter name <b>SharedLibrary</b> </div><div>Keep default value for other parameters </div><div>Click <b>Create </b>button </div><div><br> </div>
